t,rpm,speed_mph,coolant_c,accel_g,distance_miles,fuel_rate_gph,maf_gps,instant_mpg
0.0,782.0,8.699197,87.0,0.0,0.0,0.0,0.0,0.0
0.259,774.0,8.699197,87.0,0.0,0.000478,0.0,0.0,0.0
0.418,773.0,8.077825,88.0,0.0,0.000846,0.0,0.0,0.0
0.58,761.0,8.077825,88.0,0.0,0.001216,0.0,0.0,0.0
0.76,767.0,8.077825,88.0,-0.037254,0.001618,0.0,0.0,0.0
0.913,760.0,7.456454,88.0,-0.086628,0.001924,0.0,0.0,0.0
1.036,768.0,7.456454,88.0,-0.045851,0.002189,0.0,0.0,0.0
1.169,751.0,7.456454,88.0,-0.048117,0.002469,0.0,0.0,0.0
1.285,753.0,7.456454,88.0,-0.053998,0.002685,0.0,0.0,0.0
1.45,760.0,7.456454,88.0,0.0,0.003043,0.0,0.0,0.0
1.616,778.0,7.456454,88.0,0.0,0.003357,0.0,0.0,0.0
1.72,781.0,7.456454,88.0,0.0,0.003595,0.0,0.0,0.0
1.842,780.0,7.456454,88.0,0.0,0.003824,0.0,0.0,0.0
1.934,784.0,7.456454,88.0,0.0,0.004033,0.0,0.0,0.0
2.041,779.0,7.456454,88.0,0.0,0.00425,0.0,0.0,0.0
2.177,779.0,7.456454,88.0,0.0,0.004547,0.0,0.0,0.0
2.297,778.0,7.456454,88.0,0.0,0.004775,0.0,0.0,0.0
2.437,782.0,7.456454,88.0,0.0,0.005064,0.0,0.0,0.0
2.541,787.0,7.456454,88.0,0.0,0.005278,0.0,0.0,0.0
2.651,785.0,7.456454,88.0,0.0,0.005509,0.0,0.0,0.0
2.797,786.0,6.835083,88.0,-0.056644,0.00578,0.0,0.0,0.0
2.925,775.0,6.835083,88.0,-0.058087,0.006031,0.0,0.0,0.0
3.041,782.0,6.835083,88.0,-0.05668,0.00625,0.0,0.0,0.0
3.147,778.0,6.835083,88.0,-0.057075,0.006454,0.0,0.0,0.0
3.26,783.0,6.213712,88.0,-0.061232,0.006639,0.0,0.0,0.0
3.377,771.0,6.213712,88.0,-0.062567,0.006856,0.0,0.0,0.0
3.493,750.0,6.213712,88.0,-0.062646,0.007054,0.0,0.0,0.0
3.795,702.0,4.97097,88.0,-0.131266,0.007556,0.0,0.0,0.0
3.968,671.0,4.97097,88.0,-0.07997,0.007705,0.0,0.0,0.0
4.123,658.0,4.97097,88.0,-0.075925,0.007924,0.0,0.0,0.0
4.269,645.0,3.728227,88.0,-0.145947,0.008087,0.0,0.0,0.0
4.443,635.0,3.728227,88.0,-0.087374,0.00826,0.0,0.0,0.0
4.607,635.0,3.728227,88.0,-0.088601,0.008419,0.0,0.0,0.0
4.775,638.0,2.485485,88.0,-0.173841,0.00854,0.0,0.0,0.0
4.891,646.0,2.485485,88.0,-0.091066,0.008621,0.0,0.0,0.0
5.024,653.0,2.485485,88.0,-0.097461,0.008712,0.0,0.0,0.0
5.129,658.0,1.864114,88.0,-0.162988,0.008764,0.0,0.0,0.0
5.301,666.0,1.864114,88.0,-0.053868,0.008852,0.0,0.0,0.0
5.471,675.0,1.864114,88.0,-0.048862,0.008956,0.0,0.0,0.0
5.658,679.0,1.864114,88.0,-0.044732,0.009037,0.0,0.0,0.0
5.785,682.0,1.864114,88.0,0.0,0.009101,0.0,0.0,0.0
5.896,685.0,1.864114,88.0,0.0,0.009166,0.0,0.0,0.0
6.008,684.0,1.864114,88.0,0.0,0.009215,0.0,0.0,0.0
6.121,680.0,1.864114,88.0,0.0,0.009277,0.0,0.0,0.0
6.225,681.0,1.864114,88.0,0.0,0.009335,0.0,0.0,0.0
6.336,677.0,1.864114,88.0,0.0,0.009389,0.0,0.0,0.0
6.48,675.0,1.864114,88.0,0.0,0.009462,0.0,0.0,0.0
6.621,671.0,1.864114,88.0,0.0,0.009558,0.0,0.0,0.0
6.801,678.0,1.864114,88.0,0.0,0.009631,0.0,0.0,0.0
6.957,674.0,1.864114,88.0,0.0,0.009713,0.0,0.0,0.0
7.124,675.0,1.864114,88.0,0.0,0.009795,0.0,0.0,0.0
7.244,675.0,1.864114,88.0,0.0,0.009857,0.0,0.0,0.0
7.337,681.0,1.864114,88.0,0.0,0.009913,0.0,0.0,0.0
7.479,681.0,1.864114,88.0,0.0,0.009983,0.0,0.0,0.0
7.629,681.0,1.864114,88.0,0.0,0.010061,0.0,0.0,0.0
7.805,672.0,1.864114,88.0,0.0,0.010151,0.0,0.0,0.0
7.953,668.0,1.864114,88.0,0.0,0.010225,0.0,0.0,0.0
8.077,671.0,1.864114,88.0,0.0,0.010292,0.0,0.0,0.0
8.195,670.0,1.864114,88.0,0.0,0.010351,0.0,0.0,0.0
8.315,667.0,1.864114,88.0,0.0,0.010411,0.0,0.0,0.0
8.463,672.0,0.0,88.0,-0.166414,0.010411,0.0,0.0,0.0
8.636,673.0,0.0,88.0,-0.151999,0.010411,0.0,0.0,0.0
8.749,675.0,0.0,88.0,-0.153537,0.010411,0.0,0.0,0.0
8.864,677.0,0.0,88.0,-0.154883,0.010411,0.0,0.0,0.0
8.996,678.0,0.0,88.0,0.0,0.010411,0.0,0.0,0.0
9.189,683.0,0.0,88.0,0.0,0.010411,0.0,0.0,0.0
9.332,678.0,0.0,88.0,0.0,0.010411,0.0,0.0,0.0
9.497,679.0,0.0,88.0,0.0,0.010411,0.0,0.0,0.0
9.648,679.0,0.0,88.0,0.0,0.010411,0.0,0.0,0.0
9.848,675.0,0.0,88.0,0.0,0.010411,0.0,0.0,0.0
9.993,671.0,0.0,88.0,0.0,0.010411,0.0,0.0,0.0
10.161,667.0,0.0,88.0,0.0,0.010411,0.0,0.0,0.0
10.3,666.0,0.0,88.0,0.0,0.010411,0.0,0.0,0.0
10.471,666.0,0.0,88.0,0.0,0.010411,0.0,0.0,0.0
10.647,665.0,0.0,88.0,0.0,0.010411,0.0,0.0,0.0
10.809,688.0,0.0,88.0,0.0,0.010411,0.0,0.0,0.0
10.996,839.0,0.0,88.0,0.0,0.010411,0.0,0.0,0.0
11.143,939.0,0.0,88.0,0.0,0.010411,0.0,0.0,0.0
11.252,1080.0,0.0,88.0,0.0,0.010411,0.0,0.0,0.0
11.371,1172.0,0.0,88.0,0.0,0.010411,0.0,0.0,0.0
11.488,1232.0,0.0,88.0,0.0,0.010411,0.0,0.0,0.0
11.64,1244.0,0.0,88.0,0.0,0.010411,0.0,0.0,0.0
11.737,1235.0,2.485485,88.0,0.23388,0.010475,0.0,0.0,0.0
11.847,1221.0,2.485485,88.0,0.238307,0.010551,0.0,0.0,0.0
11.979,1189.0,2.485485,88.0,0.230495,0.010646,0.0,0.0,0.0
12.096,1141.0,2.485485,88.0,0.248401,0.010728,0.0,0.0,0.0
12.217,1097.0,3.728227,88.0,0.118007,0.010848,0.0,0.0,0.0
12.345,1045.0,3.728227,88.0,0.113778,0.010987,0.0,0.0,0.0
12.488,994.0,3.728227,88.0,0.111471,0.011131,0.0,0.0,0.0
12.597,944.0,3.728227,88.0,0.113152,0.011244,0.0,0.0,0.0
12.701,935.0,4.97097,88.0,0.117042,0.01138,0.0,0.0,0.0
12.812,946.0,4.97097,88.0,0.121214,0.011534,0.0,0.0,0.0
12.931,963.0,4.97097,88.0,0.127749,0.011702,0.0,0.0,0.0
13.054,987.0,4.97097,88.0,0.123999,0.011875,0.0,0.0,0.0
13.18,1025.0,4.349598,88.0,-0.05908,0.012029,0.0,0.0,0.0
13.316,1049.0,4.349598,88.0,-0.056199,0.012194,0.0,0.0,0.0
13.411,1066.0,4.349598,88.0,-0.058991,0.012307,0.0,0.0,0.0
13.532,1087.0,4.349598,88.0,-0.059179,0.012457,0.0,0.0,0.0
13.701,1127.0,4.349598,88.0,0.0,0.012655,0.0,0.0,0.0
13.84,1146.0,4.349598,88.0,0.0,0.012824,0.0,0.0,0.0
13.993,1160.0,4.349598,88.0,0.0,0.013,0.0,0.0,0.0
14.096,1178.0,6.213712,88.0,0.15076,0.013189,0.0,0.0,0.0
14.193,1194.0,6.213712,88.0,0.172709,0.013367,0.0,0.0,0.0
14.348,1211.0,6.213712,88.0,0.167343,0.013625,0.0,0.0,0.0
14.496,1228.0,6.213712,88.0,0.168952,0.013879,0.0,0.0,0.0
14.604,1246.0,6.213712,88.0,0.0,0.014136,0.0,0.0,0.0
14.729,1264.0,6.213712,88.0,0.0,0.014287,0.0,0.0,0.0
14.853,1273.0,6.213712,88.0,0.0,0.0145,0.0,0.0,0.0
14.997,1285.0,6.213712,88.0,0.0,0.014743,0.0,0.0,0.0
15.112,1300.0,5.592341,88.0,-0.055758,0.014918,0.0,0.0,0.0
15.227,1312.0,5.592341,88.0,-0.056865,0.015098,0.0,0.0,0.0
15.351,1329.0,5.592341,88.0,-0.056902,0.015285,0.0,0.0,0.0
15.493,1339.0,5.592341,88.0,-0.057076,0.015513,0.0,0.0,0.0
15.6,1342.0,6.835083,88.0,0.116066,0.015706,0.0,0.0,0.0
15.705,1353.0,6.835083,88.0,0.118608,0.015911,0.0,0.0,0.0
15.836,1357.0,6.835083,88.0,0.116879,0.016172,0.0,0.0,0.0
15.946,1360.0,6.835083,88.0,0.125176,0.016381,0.0,0.0,0.0
16.056,1371.0,6.835083,88.0,0.0,0.016577,0.0,0.0,0.0
16.193,1384.0,6.835083,88.0,0.0,0.016847,0.0,0.0,0.0
16.349,1383.0,6.835083,88.0,0.0,0.017155,0.0,0.0,0.0
16.456,1385.0,6.835083,88.0,0.0,0.017353,0.0,0.0,0.0
16.577,1389.0,6.835083,88.0,0.0,0.017583,0.0,0.0,0.0
16.688,1393.0,6.835083,88.0,0.0,0.017778,0.0,0.0,0.0
16.852,1392.0,6.835083,88.0,0.0,0.018096,0.0,0.0,0.0
17.007,1381.0,6.835083,88.0,0.0,0.018394,0.0,0.0,0.0
17.121,1383.0,6.835083,88.0,0.0,0.018591,0.0,0.0,0.0
17.231,1389.0,6.835083,88.0,0.0,0.018824,0.0,0.0,0.0
17.369,1379.0,6.835083,88.0,0.0,0.019083,0.0,0.0,0.0
17.519,1373.0,6.835083,88.0,0.0,0.019368,0.0,0.0,0.0
17.624,1366.0,6.835083,88.0,0.0,0.019562,0.0,0.0,0.0
17.729,1362.0,6.835083,88.0,0.0,0.019767,0.0,0.0,0.0
17.869,1345.0,8.077825,88.0,0.113379,0.020071,0.0,0.0,0.0
18.011,1335.0,8.077825,88.0,0.115099,0.020396,0.0,0.0,0.0
18.125,1310.0,8.077825,88.0,0.112927,0.020649,0.0,0.0,0.0
18.248,1289.0,8.077825,88.0,0.109168,0.020933,0.0,0.0,0.0
18.369,1264.0,8.077825,88.0,0.0,0.021183,0.0,0.0,0.0
18.517,1239.0,8.077825,88.0,0.0,0.021525,0.0,0.0,0.0
18.676,1219.0,8.077825,88.0,0.0,0.021887,0.0,0.0,0.0
18.78,1220.0,8.077825,88.0,0.0,0.022126,0.0,0.0,0.0
18.893,1232.0,7.456454,88.0,-0.054102,0.022347,0.0,0.0,0.0
19.028,1246.0,7.456454,88.0,-0.055478,0.022626,0.0,0.0,0.0
19.185,1268.0,7.456454,88.0,-0.055688,0.022964,0.0,0.0,0.0
19.292,1303.0,7.456454,88.0,-0.055366,0.023171,0.0,0.0,0.0
19.405,1317.0,7.456454,88.0,0.0,0.023404,0.0,0.0,0.0
19.555,1279.0,7.456454,88.0,0.0,0.023712,0.0,0.0,0.0
19.691,1159.0,7.456454,88.0,0.0,0.024005,0.0,0.0,0.0
19.795,1014.0,7.456454,88.0,0.0,0.024229,0.0,0.0,0.0
19.905,930.0,7.456454,88.0,0.0,0.024451,0.0,0.0,0.0
20.048,861.0,7.456454,88.0,0.0,0.024757,0.0,0.0,0.0
20.205,841.0,7.456454,88.0,0.0,0.025082,0.0,0.0,0.0
